0 -,<PROGRAM> ::= startCode tk_abre_bloco <VARIABLE_LIST> <COMMAND_LIST> tk_fecha_bloco endCode
1 -,<VARIABLE_LIST> ::= <VARIABLE> <VARIABLE_LIST>
2 -,<VARIABLE_LIST> ::= î
3 -,<VARIABLE> ::= <TYPE_VARIABLE> <ATTRIB> tk_final
4 -,<ATTRIB> ::= char <LOGIC>
5 -,<TYPE_VARIABLE> ::= int
6 -,<SENTENCE> ::= char
7 -,<SENTENCE> ::= integer
8 -,<SENTENCE> ::= Str
9 -,<COMMAND_LIST> ::= <COMMAND> <COMMAND_LIST>
10 -,<COMMAND_LIST> ::= î
11 -,<COMMAND> ::= <INPUT_CMD>
12 -,<COMMAND> ::= <OUTPUT_CMD>
13 -,<COMMAND> ::= <CONDITIONAL_CMD>
14 -,<COMMAND> ::= <MATH_CMD>
15 -,<COMMAND> ::= <LOOP_CMD>
16 -,<INPUT_CMD> ::= inputKey tk_abre_parenteses char tk_fecha_parenteses tk_final
17 -,<OUTPUT_CMD> ::= outputKey tk_abre_parenteses <SENTENCE> tk_fecha_parenteses tk_final
18 -,<CONDITIONAL_CMD> ::= <IF> <ELSE> tk_final
19 -,<MATH_CMD> ::= char tk_atrib <ID_ARITHMETIC> tk_final
20 -,<LOOP_CMD> ::= <DO_LOOP>
21 -,<IF> ::= if tk_abre_parenteses <ID_LOGIC> tk_fecha_parenteses tk_abre_bloco <COMMAND_LIST> tk_fecha_bloco
22 -,<ELSE> ::= else tk_abre_bloco <COMMAND_LIST> tk_fecha_bloco
23 -,<ELSE> ::= î
24 -,<DO_LOOP> ::= do tk_abre_bloco <COMMAND_LIST> until tk_abre_parenteses <ID_LOGIC> tk_fecha_parenteses tk_final
25 -,<ID_LOGIC> ::= char <LOGIC>
26 -,<ID_LOGIC> ::= integer <LOGIC>
27 -,<LOGIC> ::= tk_maior_que <ID_LOGIC>
28 -,<LOGIC> ::= tk_menor_que <ID_LOGIC>
29 -,<LOGIC> ::= tk_igual <ID_LOGIC>
30 -,<LOGIC> ::= î
31 -,<ID_ARITHMETIC> ::= integer <ARITHMETIC>
32 -,<ID_ARITHMETIC> ::= char <ARITHMETIC>
33 -,<ID_ARITHMETIC> ::= tk_subtracao <ID_ARITHMETIC>
34 -,<ID_ARITHMETIC> ::= tk_maior_que <ID_ARITHMETIC>
35 -,<ID_ARITHMETIC> ::= tk_abre_parenteses <ID_ARITHMETIC> tk_fecha_parenteses <ARITHMETIC>
36 -,<ID_ARITHMETIC> ::= tk_final
37 -,<ARITHMETIC> ::= tk_soma <ID_ARITHMETIC>
38 -,<ARITHMETIC> ::= tk_subtracao <ID_ARITHMETIC>
39 -,<ARITHMETIC> ::= tk_multiplicacao <ID_ARITHMETIC>
40 -,<ARITHMETIC> ::= tk_divisao <ID_ARITHMETIC>
41 -,<ARITHMETIC> ::= tk_abre_parenteses <ID_ARITHMETIC> tk_fecha_parenteses <ARITHMETIC>
42 -,<ARITHMETIC> ::= î
